Source,Target
29,10
47,178
47,10
10,30
10,34
47,300
10,300
29,300
29,604
29,348
29,28
10,214
47,286
47,28
73,28
73,214
29,214
10,6
10,286
47,214
10,28
29,286
178,371
47,54
47,3
29,54
10,54
29,611
10,3
29,127
178,3
73,3
47,182
47,94
47,127
178,182
29,3
29,39
47,39
47,19
10,19
29,152
178,590
73,152
178,271
47,271
10,271
29,271
47,152
34,6
34,3
34,54
34,39
143,29
143,35
143,28
143,214
143,3
143,567
143,182
143,19
143,590
143,271
26,34
35,300
46,300
26,300
26,348
46,348
108,8283
35,348
26,349
35,214
59,28
46,286
46,214
59,214
26,6
26,28
26,214
26,286
26,3
59,3
35,3
35,54
26,567
26,54
26,182
26,127
46,54
46,3
46,371
26,371
59,371
46,182
26,581
26,584
59,584
35,39
26,39
26,19
46,152
35,271
59,152
35,152
26,271
59,271
348,271
26,152
26,590
46,271
46,590
292,178
6,29
28,178
6,178
6,10
28,29
28,34
6,30
6,34
111,300
6,604
6,586
6,300
6,348
6,35
269,348
28,35
28,6
6,286
6,349
28,214
6,28
28,54
6,611
111,3
6,371
292,3
28,127
28,3
6,54
6,94
6,567
6,127
269,3
111,611
6,3
6,182
28,94
28,182
6,584
6,39
28,584
28,19
6,19
111,39
6,581
28,590
28,152
269,271
111,271
6,590
6,271
28,271
371,29
127,178
14,178
14,10
3,178
25,29
3,30
25,30
14,30
3,300
3,604
3,586
25,300
25,604
94,348
3,348
25,348
127,35
25,35
3,8283
3,108
3,349
3,28
94,28
94,286
127,28
14,28
54,214
94,349
94,214
25,6
3,286
3,214
138,28
25,214
54,28
25,286
14,214
180,349
25,28
25,349
25,94
14,127
180,3
3,54
180,182
14,371
25,54
25,371
3,371
567,371
127,3
25,611
25,127
54,3
14,54
3,611
138,3
3,567
94,127
371,567
3,182
25,182
14,3
14,567
14,182
94,3
14,611
25,3
25,19
94,39
127,584
14,584
3,581
94,19
3,584
3,39
14,581
567,584
138,19
3,590
25,271
25,590
14,271
94,152
3,152
138,271
127,271
180,271
182,590
138,590
182,271
94,271
14,152
371,271
127,152
3,271
371,590
25,152
39,29
20,34
19,30
20,30
584,604
20,348
39,35
20,286
20,6
19,286
41,28
39,28
19,6
20,214
19,28
19,214
39,6
19,182
20,567
20,182
19,3
39,127
41,54
19,127
20,54
20,611
39,611
20,371
584,371
20,3
39,182
41,3
39,54
19,54
19,371
20,19
19,581
19,584
39,271
584,590
39,152
41,271
19,271
20,271
19,590
20,590
17,10
24,34
17,30
24,30
152,586
24,348
24,35
17,35
223,348
152,35
17,108
152,214
24,214
152,28
139,28
223,28
24,28
17,214
17,28
284,286
24,54
17,127
152,567
24,3
17,3
223,3
139,611
284,3
152,182
17,54
139,3
152,581
24,19
284,19
139,271
223,590
17,590
17,271
24,271
