Id,in_degree,out_degree,total_degree,pagerank
178,7,5,12,0.364646
73,0,4,4,0.15
47,0,15,15,0.15
29,6,14,20,0.397739
10,5,11,16,0.212796
34,6,4,10,0.246808
30,9,0,9,0.285775
604,5,0,5,0.379811
586,3,0,3,0.258863
300,10,0,10,0.339067
143,0,10,10,0.15
26,0,21,21,0.15
8283,2,0,2,0.362084
348,12,1,13,0.401041
59,0,7,7,0.15
46,0,11,11,0.15
108,2,1,3,0.201971
35,9,8,17,0.3767
286,12,0,12,0.3631
269,0,3,3,0.15
292,0,2,2,0.15
214,20,0,20,0.697231
349,6,0,6,0.261482
111,0,5,5,0.15
28,23,16,39,0.799161
6,8,27,35,0.335377
611,9,0,9,0.336602
25,0,22,22,0.15
54,18,3,21,0.534813
3,31,23,54,1.09222
371,12,4,16,0.678309
127,11,7,18,0.337563
567,8,2,10,0.438462
182,15,2,17,0.510027
180,0,4,4,0.15
138,0,5,5,0.15
14,0,16,16,0.15
94,4,11,15,0.217334
584,9,3,12,0.524999
41,0,4,4,0.15
39,9,10,19,0.37449
20,0,15,15,0.15
581,6,0,6,0.294683
19,12,14,26,0.358652
590,16,0,16,0.95095
284,0,3,3,0.15
271,30,0,30,1.49256
223,0,4,4,0.15
24,0,10,10,0.15
152,14,7,21,0.476744
139,0,4,4,0.15
17,0,11,11,0.15
